1.66,6.7916,14
0.75,7.9866,14
0.84,4.7531,11
2.67,3.3912,7
0.91,4.397,9
0.6,3.3934,9
0.67,3.2434,7
2.48,2.8495,6
1.92,3.0442,6
0.93,3.0542,8
0.93,2.7787,7
2.35,1.5203,2
2.39,1.5251,3
1.15,1.8278,4
0.73,1.3742,3
0.83,1.9855,3
2.77,1.8844,3
0.81,1.8792,4
1.77,1.1006,2
1.05,1.3761,3
0.65,2.9016,6
1.32,2.3812,4
20.95,1.1739,2
1.17,1.0723,2
1.01,0.84517,1
0.87,1.0104,2
1.13,1.263,2
3.41,0.33045,0
37.71,1.7875,3
1.8,0.23556,0
0.59,1.0314,2
10.2,1.1213,2
3.18,0.56895,1
3.21,0.30276,0
2.85,1.2251,2
0.89,0.7238,1
0.89,0.64312,1
0.84,0.22876,0
2.44,0.27062,0
37.33,0.24867,0
1.41,1.9378,4
1.3,1.0307,1
5.91,0.97813,1
1.09,2.42,3
1.54,0.56236,0
3.18,0.57232,0
0.8,1.688,1
3.43,0.9537,1
1.19,0.50798,0
0.68,0.91169,1
1.98,0.39324,0
0.83,0.38677,0
2.18,0.33851,0
0.79,0.79148,1
4.77,0.50686,0
37.58,0.30245,0
0.81,0.73584,1
16.9,1.1617,2
2.68,0.4152,0
0.55,0.23059,0
1.58,0.95911,1
3.16,0.86944,1
1.05,0.36466,0
19.79,0.94623,1
1.67,0.84945,1
0.82,0.33647,0
1.18,0.26359,0
3.17,1.3699,2
1.81,0.74347,1
0.95,0.77964,1
3.34,0.25097,0
0.97,0.77584,1
0.96,0.27482,0
2.36,0.47565,0
0.92,0.31284,0
0.99,0.27908,0
6.13,0.30661,0
0.94,0.25583,0
1.65,0.26978,0
1.63,0.76642,1
9.1,0.83412,1
16.55,0.30808,0
1.74,0.2734,0
2.82,0.78985,1
16.73,0.31408,0
2.27,0.25337,0
0.73,1.1334,1
0.86,0.26296,0
3.49,0.27225,0
0.58,0.44621,0
3.54,0.91539,1
2.97,0.93129,1
0.83,0.49069,0
2.06,1.2001,1
0.96,0.41151,0
1.5,0.9409,1
9.86,0.8843,1
1.66,0.82748,1
0.7,0.97409,1
1.05,0.3387,0
0.74,0.34294,0
0.83,0.31543,0
1.01,0.26149,0
1.89,0.71018,1
1.12,0.42261,0
2.9,0.4945,0
0.91,0.40901,0
0.75,0.33899,0
1.53,1.055,1
0.7,0.82427,1
0.88,0.26858,0
2.07,0.25698,0
0.71,0.21898,0
1.69,0.21932,0
0.8,0.27266,0
1.62,0.23253,0
0.7,0.67098,1
3.7,0.22598,0
0.98,0.2732,0
1.6,0.25958,0
5.93,0.52947,0
2.91,0.35764,0
1.36,0.88095,0
3.61,1.0621,0
0.57,0.6126,0
1.89,0.39844,0
1.1,0.51183,0
20.83,0.37472,0
1.31,0.35162,0
2.53,0.33645,0
0.7,0.75153,0
1.22,0.69795,0
1.03,0.34198,0
0.73,1.1066,1
1.64,0.32215,0
3.09,0.45178,0
0.89,0.34909,0
1.81,0.75409,1
37.36,0.21002,0
0.84,0.29433,0
1.11,0.2945,0
2.24,0.26932,0
6.59,0.29484,0
0.63,0.26105,0
1.53,0.29748,0
2.28,0.27982,0
1.26,0.44034,0
1.24,0.32162,0
0.63,0.34089,0
0.66,0.37186,0
7.01,0.9718,1
3.09,0.50891,0
2.73,0.52839,0
8.78,0.32774,0
1.26,0.29736,0
0.73,0.32292,0
7.62,0.67052,1
0.93,0.27407,0
1.34,0.83583,1
1.07,0.30764,0
0.96,0.30346,0
8.7,0.27629,0
0.99,0.28431,0
1.66,0.22942,0
0.65,0.24597,0
9.42,0.41099,0
1.43,0.96929,0
0.92,0.46089,0
2.39,0.46044,0
1.85,0.34597,0
0.69,0.45942,0
1.26,0.31645,0
1.09,0.66067,0
0.7,0.27175,0
0.63,0.33141,0
3.29,0.21873,0
0.71,0.3295,0
0.87,0.37159,0
0.69,0.46337,0
0.67,0.40382,0
9.43,0.33142,0
0.7,0.45251,0
2.5,0.32228,0
18.34,0.31825,0
0.72,0.22922,0
1.45,0.24641,0
0.62,0.29001,0
0.66,0.26466,0
1.87,0.29843,0
1.77,0.33999,0
0.78,0.42309,0
2.14,0.39949,0
1,0.33456,0
0.84,1.1757,1
0.69,0.42678,0
1.35,0.36005,0
7,0.28012,0
0.83,0.27294,0
0.84,0.35042,0
1.02,0.29211,0
